"Year","Month","Date","GTA","Nino1.2SST","Nino1.2SSTAnomalies","Nino3SST","Nino3SSTAnomalies","Nino3.4SST","Nino3.4SSTAnomalies","Nino4SST","Nino4SSTAnomalies","TNI","PNA","OLR","SOI","Season.2.Month.","MEI.v2","Season.3.Month.","ONI","Season.12.Month.","ENSO","SUBDIVISION","Precipitation"
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","East Madhya Pradesh",1.7
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","Madhya Maharashtra",5.9
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","North Interior Karnataka",8.2
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","Matathwada",0.4
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","Chhattisgarh",1.3
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","Sub Himalayan West Bengal & Sikkim",48.4
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Bihar",313.3
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Chhattisgarh",374.7
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Himachal Pradesh",319.3
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","Coastal Andhra Pradesh",132.3
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","West Rajasthan",64.8
